gender,Age,Years_in_job,Income,Province,Savings,Home_ownership,Credit_history,Number_of_accs,Credit_cards,Home_loan,Overdraft,Student_Loan,Non_perfoming_Accs,Open Accounts,Current_In_Arrears,Current_balance_Amt,Past_due_Amt,No_of_enquiries,Score,Def,monthly_installments,Number_of_monthly_installments
Male,48,23,123970,Nairobi,264110,Own Home,18,79,2,0,1,0,4,2,0,12400,0.0,23,728,0,37191.0,5
Female,37,14,101907,Nairobi,101922,Rent,6,22,0,0,1,0,7,2,2,15300,4590.0,23,428,1,30572.1,8
Female,39,14,97331,Nairobi,112457,Mortgage,11,36,0,1,1,0,11,3,0,14600,0.0,10,630,0,29199.3,3
Female,38,11,106189,Nairobi,108758,Rent,10,32,0,0,0,0,10,2,2,21200,6360.0,27,504,0,31856.699999999997,1
Male,25,2,55705,Central,3793,Rent,1,1,0,0,0,1,0,1,1,16700,11690.0,2,592,0,16711.5,5
Female,49,26,136258,Nairobi,294991,Own Home,8,26,0,0,4,0,8,2,0,13600,0.0,7,656,0,40877.4,2
Female,50,25,147252,Nairobi,383889,Own Home,17,81,1,0,2,0,4,2,0,14700,0.0,36,750,0,44175.6,7
Male,48,16,131449,Nairobi,283164,Own Home,5,3,0,0,2,0,1,2,0,19700,0.0,1,661,0,39434.7,4
Male,45,13,102935,Nairobi,145547,Own Home,8,27,0,0,0,0,8,2,0,20600,0.0,10,658,0,30880.5,4
Female,28,10,81623,Nairobi,34458,Rent,5,4,0,0,2,0,2,2,2,16300,11410.0,7,391,1,24486.899999999998,1
Female,36,14,120544,Nairobi,151468,Own Home,8,19,0,0,3,0,8,2,0,18100,0.0,10,581,0,36163.2,9
Male,20,3,52357,Western,5222,Rent,2,19,0,0,2,1,8,2,2,15700,10990.0,38,352,1,15707.099999999999,2
Male,44,11,105911,Nairobi,148365,Own Home,5,4,0,0,2,0,2,2,0,21200,0.0,1,489,1,31773.3,5
Male,26,5,96124,Nairobi,36658,Rent,2,4,0,0,2,0,2,2,2,28800,20160.0,8,333,1,28837.2,2
Female,36,14,104229,Nairobi,138272,Own Home,10,33,0,0,1,0,10,2,0,15600,0.0,14,636,0,31268.699999999997,6
Female,50,22,132508,Nairobi,324064,Own Home,10,17,0,0,2,0,7,2,0,13300,0.0,8,613,0,39752.4,6
Female,34,4,92041,Nairobi,28756,Rent,2,15,0,0,2,0,6,1,1,27600,19320.0,29,396,1,27612.3,1
Female,44,11,111356,Nairobi,165468,Own Home,11,54,0,0,1,0,16,3,0,22300,0.0,20,685,0,33406.799999999996,5
Female,39,15,116124,Nairobi,160531,Own Home,6,19,0,0,1,0,8,2,0,17400,0.0,4,521,0,34837.2,6
Female,54,27,136439,Nairobi,328425,Own Home,10,20,0,0,2,0,8,2,0,13600,0.0,9,612,0,40931.7,4
Female,52,18,149094,Nairobi,328144,Own Home,10,19,0,0,2,0,8,2,0,22400,0.0,8,442,1,44728.2,11
Female,32,6,90593,Nairobi,30156,Rent,7,22,0,0,0,0,7,2,2,18100,12670.0,32,557,0,27177.899999999998,10
Female,54,23,133441,Nairobi,320167,Own Home,12,30,0,0,3,0,9,2,0,13300,0.0,18,651,0,40032.299999999996,3
Male,37,15,94810,Nairobi,96696,Rent,12,42,0,0,1,0,13,3,3,14200,4260.0,49,541,0,28443.0,7
Female,29,6,64337,Eastern,30609,Rent,5,4,0,0,2,0,2,2,2,12900,9030.0,4,359,1,19301.1,2
Male,21,3,39624,Nyanza,1798,Rent,1,3,0,0,1,1,1,2,2,11900,8330.0,3,454,1,11887.199999999999,2
Female,50,23,138611,Nairobi,326176,Own Home,18,93,0,0,1,0,5,2,0,13900,0.0,55,696,0,41583.299999999996,10
Female,50,23,137646,Nairobi,320043,Own Home,19,63,3,0,3,0,6,3,0,13800,0.0,31,722,0,41293.799999999996,4
